,name,description,reasoning,step
122,Final Polish Assistant,"A Google Docs Add-on that performs a final automated proofreading pass on the rebuttal. It scans the document to: 1) Detect and list leftover annotations such as colored text, bracketed notes, or highlights. 2) Identify inconsistent terminology (e.g., using 'user study' in one section and 'experiment' in another) and suggest a standard term. 3) Provide a text-to-speech feature that reads the final text aloud to help catch awkward phrasing and improve flow.","After integrating feedback from multiple collaborators (action 15), Dora's next step is a final polish. This tool automates the tedious cleanup of formatting artifacts and inconsistencies, ensuring the document submitted is professional and clean.",15
123,Submission Character Calculator,"A Google Docs Add-on where Dora selects the target conference (e.g., UIST). The tool then loads the specific character-counting rules for that conference's submission system (e.g., how it handles spaces, line breaks, special characters) and provides a hyper-accurate live count. It also features a 'Trim Assist' mode that suggests verbose phrases or low-impact sentences that could be cut to meet the limit.","Dora will need to ensure her rebuttal meets a strict character limit. This tool provides an accurate count for the specific submission system, preventing last-minute surprises, and aids the difficult process of trimming text while preserving meaning.",15
124,Change Impact Dashboard,"A Google Docs sidebar that analyzes all pending 'Suggestions' from her collaborators. For each suggestion, it displays the character count delta (+/-). Dora can 'stage' multiple suggestions by checking boxes next to them, and the dashboard shows the cumulative character impact of all staged changes on her total count, allowing her to accept a batch of changes at once.","Dora is currently accepting suggestions (action 15) and must balance these edits with the character limit. This tool makes the trade-off explicit, allowing her to strategically decide which edits to accept based on their impact on the final length.",15
125,Argument Coherence Visualizer,"An AI tool that reads the entire final rebuttal draft. It generates a visual graph where each node is a major argument from her rebuttal. It automatically draws 'support' links between related arguments and, critically, 'contradiction' links (in red) if two arguments are logically inconsistent (e.g., arguing the system is simple for R1 but complex for R2), flagging areas that need reframing.","After integrating feedback from different people, the rebuttal's overall narrative can become fragmented. This tool provides a high-level, visual sanity check to ensure the final set of arguments is internally consistent before submission.",15
126,Color-Coded Change Finalizer,"A Google Docs Add-on that directly addresses her current workflow. It scans the document for all text formatted in her specific blue color. It then presents a list of these colored text snippets, allowing Dora to review them one-by-one and either 'Accept' (which removes the color, making it normal text) or 'Reject' (which deletes the text). An 'Accept All' button finalizes all changes at once.","Dora is currently using blue text to track significant changes (action 15) and will need to remove this formatting. This tool automates the process of reviewing and finalizing these specific, self-identified changes, preventing submission of a document with leftover annotations.",15
127,Camera-Ready Feasibility Score,"A tool that extracts all promises from the final rebuttal text (e.g., 'add new figure', 'run follow-up study'). It uses a model to estimate the effort/time for each task and asks Dora for her camera-ready deadline. It then generates a single 'Feasibility Score' (e.g., 95% - Realistic, 60% - Ambitious, 30% - At Risk) that quantifies whether the promised work is achievable in the available time.","Authors often over-promise in rebuttals. Before submitting, Dora needs to ensure her commitments are realistic. This tool provides a crucial, data-driven reality check on the workload she is signing up for, preventing future stress.",15
128,Plain Text Submission Converter,"A utility tool that prepares the rebuttal for submission. It reads the final text from the GDoc, identifies and converts special Unicode characters (e.g., smart quotes, em-dashes) into their plain ASCII equivalents, correctly handles citations based on user settings (e.g., strip or format as '[1]'), and removes all comments and color formatting. It produces perfectly clean plain text in a pop-up with a 'Copy to Clipboard' button.","Copying from Google Docs to a web form is a common failure point. This tool prevents submission errors by creating a clean, validated, plain-text version of the rebuttal that is guaranteed to paste correctly into any conference submission system.",15
129,Feedback Integration Verifier,"A tool that helps ensure all feedback is addressed. It lists all comments from Michael and Diyi in a sidebar. As Dora edits the document, the tool uses semantic similarity to suggest a link between a change and the comment it addresses. Before finishing, Dora can see a final checklist of all comments, with linked evidence of the change, and be alerted to any comments that have not yet been addressed.",Dora is integrating comments (action 15) and her next step is to be sure she didn't miss any. This tool provides a systematic way to verify that every piece of feedback has been considered and resolved in the final draft.,15
130,Final Read-Through Companion,"A Google Docs sidebar designed to structure the final proofread. It breaks the rebuttal down by section. As Dora reads a section, she clicks 'Mark as Read'. She can also 'Flag' a section that still feels weak or awkward. The sidebar shows a progress bar of her review and a list of flagged sections, allowing her to conduct a focused, final pass on only the problem areas.","The final read-through is a critical step requiring intense focus. This tool structures that process, ensuring every part is reviewed and creating a punch list of remaining issues for a final, targeted editing session before submission.",15
131,Annotation & Highlight Finalizer,"A pre-submission utility tool within Google Docs. It performs a final scan of the document specifically for leftover authoring artifacts. It generates a single, interactive report listing all instances of: 1) Colored text (like her blue tracking color). 2) Text with highlights. 3) Bracketed placeholder notes (e.g., '[TODO: check this]'). Dora can then click through the list to navigate to each artifact and choose to remove the formatting or delete the text, ensuring a clean final version.",Dora uses color-coding and other annotations to track changes and notes. A critical final step is to remove these internal markings. This tool automates the tedious and error-prone process of hunting for leftover annotations before submission.,16
132,Rhetorical Tone Map,"An AI tool that analyzes the final rebuttal draft and generates a visual 'tone map'. It color-codes each sentence or response based on its detected rhetorical strategy: green for 'Agree & Comply', blue for 'Clarify & Educate', yellow for 'Politely Disagree', and red for 'Defensive'. This provides a high-level, at-a-glance view of the rebuttal's overall tone and strategy, allowing Dora to quickly assess if it's too confrontational or too passive.","Dora is in the polishing stage, where tone is critical. This tool augments her own reading by providing an objective, visual summary of the rhetorical signals she is sending, helping her perform a final 'sanity check' to ensure the rebuttal is professional and persuasive.",16
133,Rebuttal Wargame Simulator,"An AI-powered tool that simulates the post-rebuttal discussion phase. The user uploads their final rebuttal and the original reviews. The tool then generates a likely conversation transcript between the reviewers (e.g., R1, R2, AC), showing how the rebuttal might influence their initial stances and lead to a final consensus. It models how a convinced reviewer might defend the paper against a skeptical one and predicts how scores might change during this discussion.","The user is currently simulating individual reviewer reactions with ChatGPT. This tool directly addresses that need by providing a more sophisticated, multi-agent simulation of the entire discussion phase, helping her anticipate the rebuttal's strategic impact before submission.",17
134,Persona-Driven Consistency Checker,"After the user has simulated personas for each reviewer (e.g., 'R1-focuses-on-novelty'), this tool ingests those personas. It then re-reads the entire rebuttal draft from the perspective of each persona, flagging specific sentences or arguments that are likely to be unpersuasive, contradictory, or irritating to that specific reviewer's known priorities and biases. It would highlight, for example, a technical argument aimed at R2 that might sound like hand-waving to R1.","This tool leverages the user's current action of simulating reviewer responses by turning those simulations into lenses for a final, targeted consistency check, ensuring the rebuttal is persuasive to each member of the audience.",17
135,Rebuttal Impact Report,"An AI tool that takes the original reviews and the final rebuttal as input to generate a high-level summary report. The report includes sections like 'Key Criticisms Addressed,' 'Potential Unaddressed Loopholes,' and 'Strength Reinforcement.' For each point, it quotes the relevant rebuttal text alongside the original review comment, creating a final 'sanity check' document for sharing with co-authors before submission.","As the user polishes the final rebuttal, she needs a way to step back and assess its overall strategic effectiveness. This tool automates the creation of a high-level summary, making it easier to spot gaps and verify that every major point has been effectively countered.",17
136,Final Submission Packet Compiler,"A one-click utility that automates the final packaging of all rebuttal-related materials. It creates a new folder in the user's Google Drive and populates it with: 1) A `rebuttal_final.txt` file, perfectly formatted as plain text according to the conference's specific character-counting rules. 2) A `camera_ready_plan.gdoc` that compiles all promises made in the rebuttal. 3) A `review_archive.pdf` that pairs each original review with its final response for easy reference.","The final step of submitting is tedious and error-prone. This tool automates the formatting and archival process, ensuring a correct submission and creating a well-organized record for future reference, addressing the user's immediate need to submit and her future need to recall the process.",17
137,Argument Volatility Indexer,"This AI tool analyzes each distinct argument or response within the rebuttal and assigns it a 'Volatility Score' from 0 (safe) to 10 (risky). A high score indicates a high-risk, high-reward gambit (e.g., strongly disagreeing with a reviewer), while a low score indicates a safe, agreeable response. It visualizes the scores across the document, allowing the user to assess the overall risk profile of their rebuttal strategy.","The user is simulating outcomes to gauge the risk of her arguments. This tool quantifies that risk, providing a novel metric to evaluate whether her rebuttal is strategically too aggressive or too passive before she commits to it.",17
138,Persuasion Strategy Audit,"An AI tool that analyzes the final rebuttal text and maps its content to known rhetorical and psychological persuasion techniques (e.g., ethos, pathos, logos; reciprocity, authority). It generates a report card, such as: 'Strong use of 'Authority' by citing key papers. Could improve 'Liking' by acknowledging reviewer effort more explicitly.' It provides suggestions for reframing sentences to be more persuasive.","The user is polishing her writing, and this tool offers a new lens for improvement beyond grammar and clarity. It focuses on the art of persuasion, helping her craft a rebuttal that is not just correct but also psychologically effective.",17
139,Camera-Ready Effort Calculator & Timeline,"This tool parses all promises from the final rebuttal. For each promise (e.g., 'run follow-up study'), it presents an interactive form asking for an estimated time in hours and dependencies (e.g., 'needs data from Michael'). It then automatically generates a visual GANTT chart or timeline of the required camera-ready work, flagging potential bottlenecks and calculating the total person-hours committed.","Making promises in a rebuttal is easy; fulfilling them is hard. This tool forces the user to translate her promises into a concrete project plan, providing a realistic forecast of the workload required if the paper is accepted.",17
140,Rebuttal Tone Harmonizer,"An AI tool that analyzes the linguistic tone of the user's rebuttal *relative to* the tone of the original reviews. It flags potential mismatches. For example, if a reviewer was very supportive but noted a minor point, and the rebuttal response is overly formal and defensive, it would suggest softening the language to be more collaborative. Conversely, if a reviewer was harsh, it would verify that the response remains professional and respectful.","The user is simulating reviewer personalities, indicating an awareness of the social dynamics at play. This tool helps her fine-tune the crucial but subtle aspect of tone, ensuring her rebuttal is strategically and emotionally appropriate for each specific reviewer.",17
141,Final-Checklist & Submission Lock,"A Google Docs sidebar that generates a pre-submission checklist tailored to a final rebuttal. The list includes items like 'Run spell check', 'Verify character count against limit', 'Confirm all themes from Synthesis are addressed', and 'Acknowledge all collaborator comments'. The tool integrates a 'Copy for Submission' button that remains disabled until all critical tasks on the checklist have been manually ticked off by the user.","In the final rush to submit, it's easy to forget a crucial step. This tool provides a structured, fail-safe process to ensure every final detail is checked, preventing common mistakes and giving the user confidence at the moment of submission.",17
142,Submission Portal Bridge,"A browser extension that securely connects to the user's Google Account. When the user navigates to a conference submission page, they can activate the extension, select the final rebuttal Google Doc, and the tool provides a button to 'Inject Rebuttal'. This action automatically pulls the sanitized plain text (using the logic from the 'Final Submission Sanitizer') and pastes it directly into the correct form field on the webpage, bypassing manual copy-and-paste.","The next step after finalizing the rebuttal is submission. This tool augments the user's browser to directly and safely connect her writing environment (Google Docs) with the submission environment (the conference website), eliminating potential copy-paste errors and reducing submission-day anxiety.",19
143,Rebuttal Archive & Debrief,"A tool that, after submission, generates a comprehensive debriefing report for the author and their team. It takes the original reviews and the final rebuttal as input and creates a structured document summarizing: 1) A side-by-side view of each key criticism and the final response. 2) A clean, consolidated list of all promises made for the camera-ready version. 3) An AI-generated summary of the overall rebuttal strategy.","The rebuttal process generates many artifacts (synthesis docs, drafts, comments). This tool helps Dora formalize the outcome by creating a single, clean document that serves as an archive for future reference and a debriefing summary for her collaborators, ensuring the knowledge is preserved.",19
144,Institutional Rebuttal Playbook,"A shared knowledge base for a research lab. After a rebuttal cycle is complete, the user can submit the (anonymized) review, their final response, and the outcome (accept/reject) to the playbook. The tool categorizes the review type (e.g., 'methodology flaw', 'novelty concern'). Lab members can later search this database for successful rebuttal strategies for specific types of critiques at specific conferences.","Dora's entire workflow is a valuable piece of institutional knowledge. This tool helps her and her lab build a long-term, private repository of successful rebuttal patterns, augmenting the 'Successful Rebuttal Library' (#10) with private, hyper-relevant, and outcome-aware data.",19
145,Final Tone & Confidence Analyzer,"An AI-powered text analysis tool that provides a final check on the rebuttal's tone. It reads the entire draft and provides a report with scores on two key axes: Professionalism (from 'Overly Apologetic' to 'Dismissive') and Confidence (from 'Hesitant' to 'Assertive'). It highlights specific sentences or phrases that are outliers and could be perceived negatively by reviewers, suggesting more neutral and confident alternatives.","Having iteratively refined the rebuttal with AI (Action 18) and collaborators (Action 15), a final check on the subtle but critical aspect of tone is necessary. This tool helps ensure the final text strikes the perfect balance of being respectful yet confident, which is crucial for persuasion.",19
146,Rebuttal Submission Verifier,"A browser extension that activates on the conference submission page. When text is pasted into the rebuttal textbox, it performs a real-time, three-way comparison between the source Google Doc, the text in the submission box, and the conference's formatting rules. It generates a 'diff' view highlighting any character changes, dropped formatting, or special character mangling. It also provides a final, hyper-accurate character count based on the submission system's specific algorithm, flagging if the text is over the limit.","Dora is at the final, high-stakes moment of pasting her rebuttal. This tool would alleviate the significant anxiety of this step by ensuring the text she submits is exactly what she intended, preventing last-minute errors due to copy-pasting or hidden formatting issues.",21
147,Rebuttal Packet Archiver,"A one-click utility that automatically gathers all assets related to the rebuttal process. It creates a new, systematically named folder in Dora's Google Drive. It then saves a PDF of the reviews, a version of the 'UIST Reviews - Knoll' GDoc, a plain text file of the final rebuttal, and a link to the Overleaf project, creating a comprehensive and permanent record of the entire process for future reference.","Dora's detailed process creates many valuable but scattered documents. This tool automates the archival process, preserving institutional knowledge for her and her lab mates without requiring extra manual effort after the stressful submission is complete.",21
148,Community Decision Notifier,"A crowd-sourced, anonymous web service where authors for a specific conference track (e.g., UIST 2025) can report when they have received their final decision. The service aggregates this data into a live progress bar and timeline, showing what percentage of decisions have been released. Users can opt-in for a single email or browser notification once a critical mass of decisions (e.g., >10%) is reported.","The period after rebuttal submission is a black box filled with anxiety and compulsive checking of email and submission portals. This tool mitigates that anxiety by providing a single, reliable community signal, replacing individual stress with shared information.",21
149,Rebuttal Strategy Analyzer,"An analytical tool that provides a post-mortem report on the submitted rebuttal. It categorizes each of Dora's responses (e.g., 'Agree & Fix', 'Clarify Misunderstanding', 'Politely Disagree') and compares the overall strategy against a database of publicly available rebuttals from the same conference. It generates a summary, such as 'Your rebuttal strategy matches 82% of previously accepted papers with similar initial review scores.'","Given Dora's analytical approach, she would likely want to reflect on her process to improve for the future. This tool provides data-driven feedback on her strategic choices, turning this single experience into a learning opportunity.",21
150,Anonymous Rebuttal Contributor,"A tool that helps Dora contribute her experience to a communal knowledge base. It takes her reviews, her final rebuttal, and the eventual outcome (Accept/Reject), and uses NLP to automatically scrub all identifying information (her name, co-authors, project-specific terms). It then uploads the anonymized data to a public repository used to train better AI tools and help future students.","Dora has benefited from examples and institutional knowledge. This tool allows her to easily 'pay it forward', contributing to a virtuous cycle of community knowledge-sharing without compromising her privacy or requiring significant effort.",21
